did,louvain_community
did:plc:jexcnakcd5uc7hj6vl56i5py,4
did:plc:drvbfaxpbgokhsgtqhowm2tv,4
did:plc:vidnmxw4pcbiygxbbquv3rbk,4
did:plc:of3oqm4f2ou5tgpdvk7yao27,4
did:plc:pfixgk5njrkdtupp2gutgtmv,4
did:plc:w2w3vynzks4adcztp73t3kaq,4
did:plc:cgzje7ll5t4ou5zxozvu7sr4,4
did:plc:jiezf67jxskpkudy3qvjrjac,4
did:plc:nvoiy34oozk526hb7zlketw2,4
did:plc:qwq4olrefdspjkxj4obafk6c,4
did:plc:r2buknbgjcvr7arzdowezzze,1
did:plc:ltsvwye5b4tzwbq6tac4ggwn,4
did:plc:2zizfbcbamnhbxgi7ojyoyw2,4
